CrimeTypeKey,CrimeType,IndexCrimeType,IndexCrimeCategory
0,LARCENY-NON VEHICLE,LARCENY,PROPERTY
1,AUTO THEFT,AUTO THEFT,PROPERTY
2,LARCENY-FROM VEHICLE,LARCENY,PROPERTY
3,BURGLARY-RESIDENCE,BURGLARY,PROPERTY
4,ROBBERY-PEDESTRIAN,ROBBERY,VIOLENT
5,AGG ASSAULT,AGG ASSAULT,VIOLENT
6,RAPE,RAPE,VIOLENT
7,BURGLARY-NONRES,BURGLARY,PROPERTY
8,HOMICIDE,HOMICIDE,VIOLENT
9,ROBBERY-RESIDENCE,ROBBERY,VIOLENT
10,ROBBERY-COMMERCIAL,ROBBERY,VIOLENT
